user_id,user_grade,user_sex,user_region,user_city,user_community,user_school,user_current_grade,user_created_at,user_updated_at,help_answers_id,help_answers_user_id,help_answers_grade,help_answers_test_id,help_answers_answer,help_answers_comment,help_test_id,region_name
36,10,0,11,10,228,497,11,2019-06-06 13:01:39,2019-06-06 19:31:09,273,36,10,18,,Cankacac ban vor sovoreci im karciqov shat pitani e ev kirareli,18,Armavir
36,10,0,11,10,228,497,11,2019-06-06 13:01:39,2019-06-06 19:31:09,274,36,10,19,,das@ntac@ terutyunner chuner sakayn  aveli gexecik kliner ete test@ hagecac liner nkarnerov ,19,Armavir
36,10,0,11,10,228,497,11,2019-06-06 13:01:39,2019-06-06 19:31:09,276,36,10,21,,Im karciqov kareli e nman test lracnel informatikayi dasajamerin vorpisi hasaneli lini 8-11 dasaranneri bolor ashakertnerin,21,Armavir
73,10,0,11,10,237,506,10,2019-06-07 15:34:45,2019-06-07 15:34:45,315,73,10,18,,"Կարևոր էր իմանալ,որ մի շարք անցանկալի խնդիրներից հեռու մնալու համար անհրաժեշտ է դրսևորել պատասխանատու վարքագիծ: Լինել տեղեկացված,որպեսզի խուսափենք բռնությունից,հիվանդություններից:",18,Armavir
73,10,0,11,10,237,506,10,2019-06-07 15:34:45,2019-06-07 15:34:45,316,73,10,19,,"Կարելի է մի քանի թեմա ևս ավելացնել,թեմայի հետ կապված հարցերով:",19,Armavir
73,10,0,11,10,237,506,10,2019-06-07 15:34:45,2019-06-07 15:34:45,318,73,10,21,,"Միայն առաջարկում եմ,որ այս դասընթացներում այլ թեմաների շուրջ հարցեր ևս կազմվեն,որոնք մենք ևս անցել ենք:",21,Armavir
92,10,0,11,10,228,497,10,2019-06-08 18:50:43,2019-06-08 18:50:43,463,92,10,18,,"Ամեն  քայլ կատարելուց մտածել առողջության մասին, չհետևել ցանկություններին անտեսելով առողջությանը, չլսել և չհավատալ անծանոթ մեկի տված խորհուրդները։",18,Armavir
92,10,0,11,10,228,497,10,2019-06-08 18:50:43,2019-06-08 18:50:43,464,92,10,19,,"Բարելավելու համար կառաջարկեի շատ օրինակներ լիներ առօրյա կյանքից, հետաքրքիր դարձնելու համար կառաջարկեմ, որ շատ տեսանյութեր լինի,բայց ինձ համար շատ հետաքրքիր,հաճելի և ուսանելի էր այս դասընթացը։",19,Armavir
92,10,0,11,10,228,497,10,2019-06-08 18:50:43,2019-06-08 18:50:43,466,92,10,21,,Կառաջարկեի այս թեստը քննարկումներով անցել և խմբակային։,21,Armavir
139,10,0,11,11,255,540,8,2019-06-11 20:24:04,2019-06-11 20:48:32,501,139,10,18,,Պատասխանատու վարքագիծը,18,Armavir
139,10,0,11,11,255,540,8,2019-06-11 20:24:04,2019-06-11 20:48:32,502,139,10,19,,Առցանց դասընթացի շնորհիվ,19,Armavir
139,10,0,11,11,255,540,8,2019-06-11 20:24:04,2019-06-11 20:48:32,504,139,10,21,,Չունեմ,21,Armavir
121,10,1,11,11,274,563,10,2019-06-11 13:17:16,2019-06-11 18:17:28,539,121,10,18,,"Առաջին հերթին ճիշտ կյանք վարելը քանի որ դրանից է գալիս մեր հետագա անելիքները ։Նախ պետք է շուտ չսկսել սեռական կյանքը քանի որ այն հետագա բարդույթներ կարող է առաջացնել,չարաշահել ալկոհոլը,չծխել,չօգտվել այլ թմրանյութերից և այլ առողջությանը վտանգ սպառնացող նյութերից։",18,Armavir
121,10,1,11,11,274,563,10,2019-06-11 13:17:16,2019-06-11 18:17:28,540,121,10,19,,Ըստ իսկ գուցե ժամանակ առ ժամանակ հրավիրվում այսպիսի դասընթացներ և այլ թեմաների շուրջ ևս զրուցել։,19,Armavir
121,10,1,11,11,274,563,10,2019-06-11 13:17:16,2019-06-11 18:17:28,542,121,10,21,,Ուսումնական տարվա մեջ գոնե 2-3  անգամ անցկացվեն նմանատիպ դասեր ։,21,Armavir
222,10,0,7,34,680,1238,8,2019-06-14 14:03:14,2019-06-14 14:41:11,681,222,10,18,,"Սեռավարակները,թմրանյութերը,ալկոհոլները,այս դասընթացին վերանայեցի թեմանները",18,Syuniq
222,10,0,7,34,680,1238,8,2019-06-14 14:03:14,2019-06-14 14:41:11,682,222,10,19,,Պետք է լինել ուշադիր ունենալ անմիջականորեն կապված,19,Syuniq
222,10,0,7,34,680,1238,8,2019-06-14 14:03:14,2019-06-14 14:41:11,684,222,10,21,,Տարածել ամենուր,21,Syuniq
262,10,0,7,33,665,1205,8,2019-06-15 11:22:00,2019-06-16 05:56:52,859,262,8,18,,Vor petq e lav snvel sportov zbaxvel,18,Syuniq
262,10,0,7,33,665,1205,8,2019-06-15 11:22:00,2019-06-16 05:56:52,860,262,8,19,,Kareli e dprocnerum ays zevov dasavandel,19,Syuniq
161,10,0,7,33,655,1194,10,2019-06-13 14:27:58,2019-06-13 14:27:58,1292,161,10,18,,Բավական տեղեկություններ ունենալը կյանքի տարբեր բնագավառների նկատմամբ,18,Syuniq
161,10,0,7,33,655,1194,10,2019-06-13 14:27:58,2019-06-13 14:27:58,1293,161,10,19,,Այս դասընթացը մտցնելով տարբեր դպրոցների Առողջ ապրելակերպ առարկայի ուսուցանման ցանկը կարելի է բարելավել .,19,Syuniq
161,10,0,7,33,655,1194,10,2019-06-13 14:27:58,2019-06-13 14:27:58,1295,161,10,21,,"Ճիշտ է ամեն ինչ շատ հետաքրքիր և ուսանելի էր, սակայն կարելի է ավելացնել որոշակի  խաղ-զրույցներ , այսինքն խաղալով որոշակի խաղեր ` տրված դասերի վերաբերյալ ,միավորներ հավաքել, որոնք հետագայում կնպաստեն վկայականի լավ կամ վատ լինելուն.",21,Syuniq
452,10,1,7,34,673,1223,10,2019-06-27 08:23:29,2019-06-27 08:23:29,1792,452,10,18,,Յուրաքանչյուր քայլ անել մտածված,18,Syuniq
453,10,1,7,34,673,1223,9,2019-06-27 09:06:54,2019-06-27 12:46:36,1870,453,9,18,,Խուսափել  վաղ տարիքում սեռական հարաբերություններից,18,Syuniq
453,10,1,7,34,673,1223,9,2019-06-27 09:06:54,2019-06-27 12:46:36,1871,453,9,19,,Գրված նյութերի մռծ մասը փոխարինել տեսանյութով,19,Syuniq
469,10,0,7,34,673,1223,10,2019-06-28 12:11:21,2019-06-28 12:11:21,2032,469,10,18,,բռնության վերաբերյալ դասընթացները,18,Syuniq
469,10,0,7,34,673,1223,10,2019-06-28 12:11:21,2019-06-28 12:11:21,2033,469,10,19,,սպորտի և սննդի վերաբերյալ դասնթացներ ավելացրեք,19,Syuniq
469,10,0,7,34,673,1223,10,2019-06-28 12:11:21,2019-06-28 12:11:21,2035,469,10,21,,առաջարկներ չկան,21,Syuniq
108,10,0,11,11,222,548,9,2019-06-11 10:12:01,2019-06-30 13:01:23,2267,108,8,18,,Ամեն բան կարևոր էր ինձ համար,18,Armavir
108,10,0,11,11,222,548,9,2019-06-11 10:12:01,2019-06-30 13:01:23,2268,108,8,19,,Իմ կարծիքով բարելավելու կարիք չկա,19,Armavir
477,10,0,11,11,222,548,10,2019-06-29 21:33:19,2019-06-29 22:19:08,2301,477,10,18,,"Շրջակա միջավայրը, լավ վարքի դրսևորումը",18,Armavir
477,10,0,11,11,222,548,10,2019-06-29 21:33:19,2019-06-29 22:19:08,2303,477,10,21,,Առաջարկում եմ թեստերի քանակը շատացնել,21,Armavir
473,10,0,7,34,673,1223,10,2019-06-29 11:08:13,2019-06-29 11:08:13,2390,473,10,19,,Կարելի է ընդգրկել նաեւ այլ թեմաներ,19,Syuniq
379,10,1,4,26,520,983,10,2019-06-20 14:21:36,2019-07-11 06:53:34,2663,379,10,19,,Հանեք այն թեմաները որոնք դժվարեն,19,Shirak
